الوزارة,القسم,المعرف
الاتحاد العام للتعاون,الجمعية التعاونية الاستهلاكية,01013
الجامعة العراقية,كلية تربية اساسية,02282
الكلية التقنية الهندسية,وزارة التعليم العالي,03393
المفوضية العليا المستقلة للانتخابات,المقر,04093
المفوضية العليا لحقوق الانسان,المقر,05093
الهيئاة العامة لمراقبة تخصيص الواردات,مجلس الوزراء,06286
الهيئة العامة للضرائب,الهيئة العامة للضرائب,07110
امانة بغداد,المقر,08093
امانة بغداد,المنتزهات والتشجير,08096
امانة بغداد,بلدية الدورة,08117
امانة بغداد,بلدية الصدر,08119
امانة بغداد,بلدية الصدر الاولى,08120
امانة بغداد,بلدية الصدر الثانية,08121
امانة بغداد,بلدية الكرادة,08122
امانة بغداد,دائرة المشاريع,08194
امانة بغداد,دائرة بلدية الرشيد,08199
امانة بغداد,دائرة بلدية بغداد الجديدة,08200
امانة بغداد,دائرة تشجير المزروعات,08202
امانة بغداد,دائرة ماء بغداد,08215
امانة بغداد,دائرة مجاري بغداد,08216
امانة بغداد,شركة ابن الرشد العامة,08231
بلدية الراشديه,محافظة بغداد,09287
تربية ذي قار,العدالة للبنين,10061
جامعة الانبار,المقر,11093
ديوان الوقف السني,المقر,12093
ديوان الوقف الشيعي,العتبة الكاظمية,13060
ديوان الوقف الشيعي,المقر,13093
ديوان الوقف الشيعي,ثانوية الامام الجواد,13142
ديوان الوقف المسيحي,ديوان اوقاف الديانات المسيحية والازيدية والصابئة,14219
رئاسة الوزراء,الامانة العامة لمجلس الوزراء,15006
رئاسة الوزراء,الأمانة العامة لرئاسة الوزراء,15007
رئاسة الوزراء,المقر,15093
رئاسة الوزراء,الهيئة الوطنية للاستثمار,15112
رئاسة الوزراء,بلدية الدورة,15117
رئاسة الوزراء,رئاسة الادعاء العام,15222
رئاسة الوزراء,سلطة الطيران المدني,15226
رئاسة الوزراء,فريق الجهد الخدمي و الهندسي,15259
رئاسة الوزراء,مجلس الخدمة الاتحادي,15284
رئاسة الوزراء,مديرية شهداء الرصافة,15332
رئاسة الوزراء,مؤسسة السجناء السياسيين,15372
رئاسة الوزراء,مؤسسة الشهداء,15373
رئاسة الوزراء,مؤسسة الشهداء الرصافة,15374
رئاسة الوزراء,مؤسسة الشهداء الكرخ,15375
رئاسة الوزراء,مؤسسة الشهداء مدينة الصدر,15376
رئاسة الوزراء,هيأة التصنيع الحربي,15379
رئاسة الوزراء,هيئة الحج والعمرة,15383
رئاسة الوزراء,هيئة المنافذ الحدودية,15388
